politybelligerent,modernctrylocation,newid,distance,conflict,conflictname,city,province,parliamentoflocation,cstart,cend,cduration,major,navalbattle,battletype,sideabelligerent1,sideabelligerent2,sideabelligerent3,sideabelligerent4,sidebbelligerent1,sidebbelligerent2,sidebbelligerent3,sidebbelligerent4,Belligerent.Allies,polityvictor,battledraw,victorname,belligerentvictor,parlpresence,resources,notes,ac
Rebel Army,England,672,670,1,norton st phillips,norton st philip,somerset,England,1685,1685,1,0,0,battle,Royal Army,,,,Rebel Army,,,,0,1,0,Royal Army,0,3,"Clodfelter p. 52-3, ""Seventeenth Century - British Isles - Monmouth's Rebellion (1685)""","""One June 26 the rebels attacked a Royalist focre of 500 at Norton St. Phillips…But a royal army of 2,700….advanced against the rebels and dessertion quickly thinned the rebel ranks."" ",
Rebel Army,England,673,671,1,sedgemoor,westonzoyland,somerset,England,1685,1685,1,0,0,battle,Royal Army,,,,Rebel Army,,,,0,1,0,Royal Army,0,3,"Clodfelter p. 52-3, ""Seventeenth Century - British Isles - Monmouth's Rebellion (1685)""","""Monmouth's ill-armed men fouth fiercely but could not prevail against the firepower and discipline of the regulars. Over 300 rebels were killed in the battle…"" ",
Ottoman Empire,Hungary ,674,672,1,second buda,budapest,Hungary ,Hungary ,1686,1686,1,0,0,siege,Ottoman Empire,,,,Austria,,,,0,,0,Austria,0,1,"Clodfelter p. 60, ""Seventeenth Century - Eastern Europe - Habsburg-Ottoman war, 1683-99""",,
Austria,Hungary ,674,672,1,second buda,budapest,Hungary ,Hungary ,1686,1686,1,0,0,siege,Ottoman Empire,,,,Austria,,,,0,,0,Austria,1,1,"Clodfelter p. 60, ""Seventeenth Century - Eastern Europe - Habsburg-Ottoman war, 1683-99""",,
Venice,greece,675,673,1,athens,athens,greece,,1687,1687,1,0,0,siege,Venice,Greek Rebels,,,Ottoman Empire,,,,1,,0,Venice,1,0,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Austria,Hungary ,676,674,1,harkany,harkany,Hungary ,Hungary ,1687,1687,1,0,0,battle,Austria,,,,Ottoman Empire,,,,0,,0,Austria,1,1,"Clodfelter p. 60, ""Seventeenth Century - Eastern Europe - Habsburg-Ottoman war, 1683-99""",,
Greek Rebels,greece,675,673,1,athens,athens,greece,,1687,1687,1,0,0,siege,Venice,Greek Rebels,,,Ottoman Empire,,,,1,,0,Venice,0,0,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Ottoman Empire,greece,675,673,1,athens,athens,greece,,1687,1687,1,0,0,siege,Venice,Greek Rebels,,,Ottoman Empire,,,,0,,0,Venice,0,0,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Ottoman Empire,Hungary ,676,674,1,harkany,harkany,Hungary ,Hungary ,1687,1687,1,0,0,battle,Austria,,,,Ottoman Empire,,,,0,,0,Austria,0,1,"Clodfelter p. 60, ""Seventeenth Century - Eastern Europe - Habsburg-Ottoman war, 1683-99""",,
France,Algeria,677,675,1,fourth algiers,algiers,algeria,,1688,1688,1,0,0,siege,France,,,,Algeria,,,,0,,0,France,1,1,"Clodfelter p. 43, ""Seventeenth Century - Western Europe - Barbary Wars, 1664-89""",,
France,libya,678,676,1,tripoli,tripoli,libya,,1688,1688,1,0,0,siege,France,,,,Tripoli,,,,0,,0,France,1,1,"Clodfelter p. 43, ""Seventeenth Century - Western Europe - Barbary Wars, 1664-89""",,
Austria,serbia,679,677,1,first belgrade,belgrade,serbia,,1688,1688,1,0,0,siege,Austria,Bavaria,,,Ottoman Empire,,,,1,,0,"Austria, Bavaria",1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
France,tunisia,680,678,1,tunis,tunis,tunisia,,1688,1688,1,0,0,siege,France,,,,Tunis,,,,0,,0,France,1,1,"Clodfelter p. 43, ""Seventeenth Century - Western Europe - Barbary Wars, 1664-89""",,
Bavaria,serbia,679,677,1,first belgrade,belgrade,serbia,,1688,1688,1,0,0,siege,Austria,Bavaria,,,Ottoman Empire,,,,1,,0,"Austria, Bavaria",1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Algeria,Algeria,677,675,1,fourth algiers,algiers,algeria,,1688,1688,1,0,0,siege,France,,,,Algeria,,,,0,,,France,0,1,"Clodfelter p. 43, ""Seventeenth Century - Western Europe - Barbary Wars, 1664-89""",,
Tripoli,libya,678,676,1,tripoli,tripoli,libya,,1688,1688,1,0,0,siege,France,,,,Tripoli,,,,0,,,France,0,1,"Clodfelter p. 43, ""Seventeenth Century - Western Europe - Barbary Wars, 1664-89""",,
Ottoman Empire,serbia,679,677,1,first belgrade,belgrade,serbia,,1688,1688,1,0,0,siege,Austria,Bavaria,,,Ottoman Empire,,,,0,,0,"Austria, Bavaria",0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Tunis,tunisia,680,678,1,tunis,tunis,tunisia,,1688,1688,1,0,0,siege,France,,,,Tunis,,,,0,,,France,0,1,"Clodfelter p. 43, ""Seventeenth Century - Western Europe - Barbary Wars, 1664-89""",,
France,belgium,681,679,1,walcourt,walcourt,belgium,Belgium,1689,1689,1,0,0,battle,France,,,,Holland,England,Austria,Castile,0,,0,"Holland, England, Austria, Castile",0,2,"Clodfelter p. 47, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,belgium,681,679,1,walcourt,walcourt,belgium,Belgium,1689,1689,1,0,0,battle,France,,,,Holland,England,Austria,Castile,3,,0,"Holland, England, Austria, Castile",1,2,"Clodfelter p. 47, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
England,belgium,681,679,1,walcourt,walcourt,belgium,Belgium,1689,1689,1,0,0,battle,France,,,,Holland,England,Austria,Castile,3,,0,"Holland, England, Austria, Castile",1,2,"Clodfelter p. 47, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Austria,belgium,681,679,1,walcourt,walcourt,belgium,Belgium,1689,1689,1,0,0,battle,France,,,,Holland,England,Austria,Castile,3,,0,"Holland, England, Austria, Castile",1,2,"Clodfelter p. 47, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Castile,belgium,681,679,1,walcourt,walcourt,belgium,Belgium,1689,1689,1,0,0,battle,France,,,,Holland,England,Austria,Castile,3,,0,"Holland, England, Austria, Castile",1,2,"Clodfelter p. 47, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,belgium,686,684,1,fleurus,fleurus,belgium,Belgium,1690,1690,1,1,0,battle,France,,,,Holland,Castile,Austria,,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,Italy,689,687,1,staffarda,revello,piemonte,Piedmont,1690,1690,1,0,0,battle,France,,,,Castile,Piedmont,,,0,,0,France,1,2,"Clodfelter 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Austria,romania,690,688,1,zernyest,z?rne?ti,romania,,1690,1690,1,0,0,battle,Austria,Transylvania,,,Ottoman Empire,Crimean Khanate,,,1,,0,"Ottoman Empire, Crimean Khanate",0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Austria,serbia,692,690,1,second belgrade,belgrade,serbia,,1690,1690,1,0,0,siege,Austria,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
England ,England,2031,31n,1,beachy head,off beachy head,east sussex,England,1690,1690,1,1,1,battle,England ,Holland,,,France,,,,1,0,0,France,0,1,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97"" ","""But in the next year, on June 30 1690, a French fleet of 78 sail with 4,702 guns and 28,000 crewmen, commanded by Admiral Anne Hilarion de Tourville, won France's greatest naval triumph ever over their English adversaries. Off Beachy Head, Tou",
Transylvania,romania,690,688,1,zernyest,z?rne?ti,romania,,1690,1690,1,0,0,battle,Austria,Transylvania,,,Ottoman Empire,Crimean Khanate,,,1,,0,"Ottoman Empire, Crimean Khanate",0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Holland,England,2031,31n,1,beachy head,off beachy head,east sussex,England,1690,1690,1,1,1,battle,England ,Holland,,,France,,,,1,0,0,France,0,1,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97"" ","""But in the next year, on June 30 1690, a French fleet of 78 sail with 4,702 guns and 28,000 crewmen, commanded by Admiral Anne Hilarion de Tourville, won France's greatest naval triumph ever over their English adversaries. Off Beachy Head, Tou",
Holland,belgium,686,684,1,fleurus,fleurus,belgium,Belgium,1690,1690,1,1,0,battle,France,,,,Holland,Castile,Austria,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Castile,Italy,689,687,1,staffarda,revello,piemonte,Piedmont,1690,1690,1,0,0,battle,France,,,,Castile,Piedmont,,,1,,0,France,0,2,"Clodfelter 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Ottoman Empire,romania,690,688,1,zernyest,z?rne?ti,romania,,1690,1690,1,0,0,battle,Austria,Transylvania,,,Ottoman Empire,Crimean Khanate,,,1,,0,"Ottoman Empire, Crimean Khanate",1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Ottoman Empire,serbia,692,690,1,second belgrade,belgrade,serbia,,1690,1690,1,0,0,siege,Austria,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
France,England,2031,31n,1,beachy head,off beachy head,east sussex,England,1690,1690,1,1,1,battle,England ,Holland,,,France,,,,0,0,0,France,1,1,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97"" ","""But in the next year, on June 30 1690, a French fleet of 78 sail with 4,702 guns and 28,000 crewmen, commanded by Admiral Anne Hilarion de Tourville, won France's greatest naval triumph ever over their English adversaries. Off Beachy Head, Tou",
Castile,belgium,686,684,1,fleurus,fleurus,belgium,Belgium,1690,1690,1,1,0,battle,France,,,,Holland,Castile,Austria,,1,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Piedmont,Italy,689,687,1,staffarda,revello,piemonte,Piedmont,1690,1690,1,0,0,battle,France,,,,Castile,Piedmont,,,1,,0,France,0,2,"Clodfelter 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Crimean Khanate,romania,690,688,1,zernyest,z?rne?ti,romania,,1690,1690,1,0,0,battle,Austria,Transylvania,,,Ottoman Empire,Crimean Khanate,,,1,,0,"Ottoman Empire, Crimean Khanate",1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Austria,belgium,686,684,1,fleurus,fleurus,belgium,Belgium,1690,1690,1,1,0,battle,France,,,,Holland,Castile,Austria,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,belgium,693,691,1,mons,mons,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,belgium,694,692,1,hal,halle,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,belgium,695,693,1,leuze,leuze-en-hainaut,belgium,Belgium,1691,1691,1,0,0,battle,France,,,,England,Scotland,Holland,,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Austria,serbia,698,696,1,szalankemen,stari slankamen,serbia,,1691,1691,1,1,0,battle,Austria,Transylvania,,,Ottoman Empire,,,,1,,0,Austria,1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
France,Spain,699,697,1,ripoli,ripoll,catalonia,catalonia,1691,1691,1,0,0,siege,France,,,,Castile,,,,0,0,0,France,1,2,"Clodfelter 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Transylvania,serbia,698,696,1,szalankemen,stari slankamen,serbia,,1691,1691,1,1,0,battle,Austria,Transylvania,,,Ottoman Empire,,,,1,,0,Austria,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Castile,belgium,693,691,1,mons,mons,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Castile,belgium,694,692,1,hal,halle,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
England,belgium,695,693,1,leuze,leuze-en-hainaut,belgium,Belgium,1691,1691,1,0,0,battle,France,,,,England,Scotland,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Ottoman Empire,serbia,698,696,1,szalankemen,stari slankamen,serbia,,1691,1691,1,1,0,battle,Austria,Transylvania,,,Ottoman Empire,,,,0,,0,Austria,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Castile,Spain,699,697,1,ripoli,ripoll,catalonia,catalonia,1691,1691,1,0,0,siege,France,,,,Castile,,,,0,0,0,France,0,2,"Clodfelter 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Austria,belgium,693,691,1,mons,mons,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Austria,belgium,694,692,1,hal,halle,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Scotland,belgium,695,693,1,leuze,leuze-en-hainaut,belgium,Belgium,1691,1691,1,0,0,battle,France,,,,England,Scotland,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,belgium,693,691,1,mons,mons,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,belgium,694,692,1,hal,halle,belgium,Belgium,1691,1691,1,0,0,siege,France,,,,Castile,Austria,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,belgium,695,693,1,leuze,leuze-en-hainaut,belgium,Belgium,1691,1691,1,0,0,battle,France,,,,England,Scotland,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,belgium,700,698,1,first namur,namur,belgium,Belgium,1692,1692,1,0,0,siege,France,,,,Holland,Castile,Austria,,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,belgium,701,699,1,steenkerke,veurne,belgium,Belgium,1692,1692,1,1,0,battle,France,,,,England,Scotland,Denmark,Holland,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,France,2032,32n,1,barfleur,barfleur,basse normandie,France,1692,1692,1,1,1,battle,France,,,,England,Netherlands,,,0,0,0,"England, Holland",0,2,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97""",Battle of Barfluer May 19-20 (prior to La Hogue),
France,France,2033,33n,1,la hogue,cherbourg,basse normandie,France,1692,1692,1,1,1,battle,France,,,,England,Netherlands ,,,0,0,0,"England, Holland",0,2,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97""","""The Allies regained undisputed command of the Channel in 1692 by the victory of La Hogue…""",
Holland,belgium,700,698,1,first namur,namur,belgium,Belgium,1692,1692,1,0,0,siege,France,,,,Holland,Castile,Austria,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
England,belgium,701,699,1,steenkerke,veurne,belgium,Belgium,1692,1692,1,1,0,battle,France,,,,England,Scotland,Denmark,Holland,3,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
England,France,2032,32n,1,barfleur,barfleur,basse normandie,France,1692,1692,1,1,1,battle,France,,,,England,Holland,,,1,0,0,"England, Holland",1,2,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97""",Battle of Barfluer May 19-20 (prior to La Hogue),
England,France,2033,33n,1,la hogue,cherbourg,basse normandie,France,1692,1692,1,1,1,battle,France,,,,England,Holland,,,1,0,0,"England, Holland",1,2,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97""","""The Allies regained undisputed command of the Channel in 1692 by the victory of La Hogue…""",
Castile,belgium,700,698,1,first namur,namur,belgium,Belgium,1692,1692,1,0,0,siege,France,,,,Holland,Castile,Austria,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Scotland,belgium,701,699,1,steenkerke,veurne,belgium,Belgium,1692,1692,1,1,0,battle,France,,,,England,Scotland,Denmark,Holland,3,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,France,2032,32n,1,barfleur,barfleur,basse normandie,France,1692,1692,1,1,1,battle,France,,,,England,Holland,,,1,0,0,"England, Holland",1,2,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97""",Battle of Barfluer May 19-20 (prior to La Hogue),
Holland,France,2033,33n,1,la hogue,cherbourg,basse normandie,France,1692,1692,1,1,1,battle,France,,,,England,Holland,,,1,0,0,"England, Holland",1,2,"Clodfelter p. 47, ""Seventeenth Century - Western Europe - War of the Grand Alliance, 1688-97""","""The Allies regained undisputed command of the Channel in 1692 by the victory of La Hogue…""",
Austria,belgium,700,698,1,first namur,namur,belgium,Belgium,1692,1692,1,0,0,siege,France,,,,Holland,Castile,Austria,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Denmark,belgium,701,699,1,steenkerke,veurne,belgium,Belgium,1692,1692,1,1,0,battle,France,,,,England,Scotland,Denmark,Holland,3,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,belgium,701,699,1,steenkerke,veurne,belgium,Belgium,1692,1692,1,1,0,battle,France,,,,England,Scotland,Denmark,Holland,3,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,,702,,1,oetisheim,oetisheim,wurttemberg,,1692,1692,1,0,0,battle,France,,,,Wurttemberg,,,,0,0,0,France,1,2,"Wilson 1995, p. 121, """"Faced with such opposition at the Landtag, Friedrich Carl made the mistake of leaving Magdalene Sibylle to continue negotiations and left for the front. On 17 September, his forces were surprised by the French at Oetisheim and he himself was captured and taken to Paris...Friedrich Carl's troops (6,000-8,000 Wurttembergers and Bavarians) were let down by poor discipline, cuasing them to leave a favourable position, and to be routed by 7,800 French. Friedrich Carl personally killed twelve Frenchmen before being taken prisoner by Villars, the future field marshal."" ",,
Wurttemberg,,702,,1,oetisheim,oetisheim,wurttemberg,,1692,1692,1,0,0,battle,France,,,,Wurttemberg,,,,0,0,0,France,0,2,"Wilson 1995, p. 121, """"Faced with such opposition at the Landtag, Friedrich Carl made the mistake of leaving Magdalene Sibylle to continue negotiations and left for the front. On 17 September, his forces were surprised by the French at Oetisheim and he himself was captured and taken to Paris...Friedrich Carl's troops (6,000-8,000 Wurttembergers and Bavarians) were let down by poor discipline, cuasing them to leave a favourable position, and to be routed by 7,800 French. Friedrich Carl personally killed twelve Frenchmen before being taken prisoner by Villars, the future field marshal."" ",,
France,belgium,703,700,1,neerwinden,neerwinden (tienen),belgium,Belgium,1693,1693,1,1,0,battle,France,,,,England,Scotland,Holland,,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
France,Italy,704,701,1,marsaglia,marsaglia,piemonte,Piedmont,1693,1693,1,1,0,battle,France,,,,Piedmont,Castile,,,0,,0,France,1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Austria,serbia,705,702,1,third belgrade,belgrade,serbia,,1693,1693,1,0,0,siege,Austria,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
England,belgium,703,700,1,neerwinden,neerwinden (tienen),belgium,Belgium,1693,1693,1,1,0,battle,France,,,,England,Scotland,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Piedmont,Italy,704,701,1,marsaglia,marsaglia,piemonte,Piedmont,1693,1693,1,1,0,battle,France,,,,Piedmont,Castile,,,1,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Ottoman Empire,serbia,705,702,1,third belgrade,belgrade,serbia,,1693,1693,1,0,0,siege,Austria,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Scotland,belgium,703,700,1,neerwinden,neerwinden (tienen),belgium,Belgium,1693,1693,1,1,0,battle,France,,,,England,Scotland,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Castile,Italy,704,701,1,marsaglia,marsaglia,piemonte,Piedmont,1693,1693,1,1,0,battle,France,,,,Piedmont,Castile,,,1,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,belgium,703,700,1,neerwinden,neerwinden (tienen),belgium,Belgium,1693,1693,1,1,0,battle,France,,,,England,Scotland,Holland,,2,,0,France,0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Venice,greece,706,703,1,chios,chios island,northaegean,,1694,1695,2,0,0,siege,Venice,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,0,2,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""","venice conquered chios in 1694, to lose it again in 1695 ",
Ottoman Empire,greece,706,703,1,chios,chios island,northaegean,,1694,1695,2,0,0,siege,Venice,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,1,2,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""","venice conquered chios in 1694, to lose it again in 1695 ",
Venice,turkey,2034,34n,1,cape kara burun,karaburun ,turkey ,,1695,1695,1,1,1,battle,Venice,,,,Ottoman Empire,,,,0,,1,,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Venice,greece,2035,35n,1,chios,chios ,north aegean,,1695,1695,1,1,1,battle,Venice,,,,Ottoman Empire,,,,0,,1,,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
France,belgium,707,704,1,second namur,namur,belgium,Belgium,1695,1695,1,1,0,siege,France,,,,Austria,England,Scotland,Holland,0,,0,"Austria, England, Holland, Scotland",0,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Austria,romania,708,705,1,lippa,lipova,romania,,1695,1695,1,0,0,battle,Austria,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Ottoman Empire,turkey,2034,34n,1,cape kara burun,karaburun ,turkey ,,1695,1695,1,1,1,battle,Venice,,,,Ottoman Empire,,,,0,,1,,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Ottoman Empire,greece,2035,35n,1,chios,chios ,north aegean,,1695,1695,1,1,1,battle,Venice,,,,Ottoman Empire,,,,0,,1,,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
Austria,belgium,707,704,1,second namur,namur,belgium,Belgium,1695,1695,1,1,0,siege,France,,,,Austria,England,Scotland,Holland,3,,0,"Austria, England, Holland, Scotland",1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Ottoman Empire,romania,708,705,1,lippa,lipova,romania,,1695,1695,1,0,0,battle,Austria,,,,Ottoman Empire,,,,0,,0,Ottoman Empire,1,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
England,belgium,707,704,1,second namur,namur,belgium,Belgium,1695,1695,1,1,0,siege,France,,,,Austria,England,Scotland,Holland,3,,0,"Austria, England, Holland, Scotland",1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Scotland,belgium,707,704,1,second namur,namur,belgium,Belgium,1695,1695,1,1,0,siege,France,,,,Austria,England,Scotland,Holland,3,,0,"Austria, England, Holland, Scotland",1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Holland,belgium,707,704,1,second namur,namur,belgium,Belgium,1695,1695,1,1,0,siege,France,,,,Austria,England,Scotland,Holland,3,,0,"Austria, England, Holland, Scotland",1,2,"Clodfelter p. 48, ""Seventeenth Cenutry - Western Europe - War of the Grand Alliance, 1688-97""",,
Venice,greece,2036,36n,1,negropont,negropont,euboea,,1697,1697,1,1,1,battle,Venice,,,,Ottoman Empire,,,,0,,1,,0,1,"Clodfelter p. 60, ""Seventeenth Century - Ottoman Empire - Habsburg-Ottoman war, 1683-99""",,
